study_id,title,description
EGAS00001004304,   test,
EGAS00001003645,gwas   danjou  al nature genetics 2015,"We report genome-wide association study results for the levels of A1, A2 and fetal hemoglobins, analyzed for the first time concurrently. Integrating high-density array genotyping and whole-genome sequencing in a large general population cohort from Sardinia, we detected 23 associations at 10 loci. Five signals are due to variants at previously undetected loci: MPHOSPH9, PLTP-PCIF1, ZFPM1 (FOG1), NFIX and CCND3. Among the signals at known loci, ten are new lead variants and four are new independent signals. Half of all variants also showed pleiotropic associations with different hemoglobins, which further corroborated some of the detected associations and identified features of coordinated hemoglobin species production."
EGAS00001003761,low input wgs paired  wgms,Development of a whole-genome sequence and whole-genome methylation seq pipeline that provides both libraries from a single low input (sub 10ng) sample as used in the low input LCM pipelines.
EGAS00001002342,empty study accidentally created,Need to be filled later
EGAS00001003762,low input wgms,Development of a whole-genome methylation seq pipeline that provides &gt;80% genome coverage using low quantities of DNA (&lt;10ng) as input using a novel enzymatic method to assess DNA methylation.
EGAS00001003685,rna sequen ing  21 inflammatory hepatocellular adenomas,"The French ICGC project on liver tumors is coordinated by Pr Jessica Zucman-Rossi and funded by Inca (French Institute for Cancer). The aim of the present project is to identify the catalog of somatic and germline mutations in liver tumors.The present series corresponds to 21 RNA-seq of IHCA samples.
Aligned bam files correspond to hg38 human reference."
EGAS00001003722,exome   genome sequencing  central african hunter gatherers  agriculturalists,"To investigate how human populations have adapted to the equatorial rainforest, we generated 266 high-coverage exomes, analyzed in combination with 300 published exomes, from 14 populations of African rainforest hunter-gatherers and farmers, together with 40 newly-generated, low-coverage genomes. Genome scans for positive selection and signatures of polygenic selection provide evidence for local adaptation of hunter-gatherers to the African rainforest."
EGAS00001002461, genome sequencing  interval,"15x Whole Genome Sequencing of 15,000 individuals from the INTERVAL study cohort, phase II.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001003763,landscape  significance  multiple mutations  oncogenes,This study is a comprehensive pan-cancer study of oncogenic multiple mutations (MMs) which includes long-read whole-genome sequencing data (n = 3).
EGAS00001001376,thu aug 06 12 15 12 bst 2015 ebi submitted  test,NA
EGAS00001003653,indonesian methylation data,"DNA methylation data were collected to study patterns of functional variation across the broad geography of Indonesia. The region has extremely diverse populations, with very different demographic histories and multiple genetic ancestries. This dataset reports Illumina Epic methylation chip data for individuals from three islands spanning this geographical region: Mentawai, Sumba and West Papua."
EGAS00001005039,single cell rna sequencing single cell rna sequencing  performed  13 mild moderate  10 critical covid19 pbmc samples,"Summary
Epidemiological and clinical reports have indicated that SARS-CoV-2 virulence hinges upon the triggering of an aberrant host immune response, more so than on direct virus-induced cellular damage. To elucidate the immunopathology underlying COVID-19 severity, we performed cytokine and multiplex immune profiling in mild-moderate and critically ill COVID-19 patients. Hypercytokinemia in COVID-19 differed from the IFN-γ-driven cytokine storm in macrophage activation syndrome, and was more pronounced in critical versus mild-moderate COVID-19. Systems modelling of cytokine levels paired with deep-immune profiling showed that classical monocytes drive this hyper-inflammatory phenotype and that a reduction in T-lymphocytes correlates with disease severity, with CD8+ cells being disproportionately affected. Expression of antigen presenting machinery was also reduced in critical disease.  Furthermore, we found that neutrophils contributed to disease severity and local tissue damage by amplification of hypercytokinemia and the formation of neutrophil extracellular traps. Together these findings suggest a myeloid-driven immunopathology, in which hyperactivated neutrophils and an ineffective adaptive immune system act as mediators of COVID-19 disease severity."
EGAS00001003671,indonesian rna seq data,"Transcription data were collected to study patterns of functional variation across the broad geography of Indonesia. The region has extremely diverse populations, with very different demographic histories and multiple genetic ancestries. This dataset reports high-throughput RNA-sequencing data for individuals from three islands spanning this geographical region: Mentawai, Sumba and West Papua."
EGAS00001003770,mapping genetic variants underlying gene regulation  inflammed intestinal cell types  identify novel ibd drug targets,"Biopsies from the terminal ileum and rectum of individuals with Crohn's disease are digested on ice to single cells and processed for single-cell RNA-sequencing (10X Genomics and Illumina)
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001004997,clinical outcomes  ctdna positive urothelial carcinoma patients treated  adjuvant immunotherapy,"Minimally invasive approaches to detect residual disease after surgery are urgently needed to select patients at highest risk for metastatic relapse for additional therapies. Circulating tumour DNA (ctDNA) holds promise as a biomarker for molecular residual disease (MRD) and relapse,1-3 but its clinical value has yet to be demonstrated in a randomised clinical trial. We evaluated outcomes in post-surgical ctDNA-positive (+) patients in a randomised phase III trial of adjuvant atezolizumab versus observation. IMvigor010 enrolled 809 patients with muscle-invasive urothelial carcinoma and did not meet its primary endpoint of disease-free survival (DFS) in the intent-to-treat population. Within the study, an exploratory planned analysis of prospectively collected plasma was performed, which tested the utility of ctDNA to identify patients who may benefit from adjuvant atezolizumab treatment. ctDNA was measured at the start of therapy (cycle 1 day 1; C1D1) and at week 6 (cycle 3 day 1; C3D1), and 581 patients were evaluable for ctDNA. The prevalence of ctDNA positivity at C1D1 was 37% (n=214), and ctDNA positivity identified patients with poor prognosis (observation arm DFS HR= 6.19 (4.29, 8.91), p&amp;lt;0.0001). Here we show that ctDNA(+) patients had improved DFS and overall survival (OS) with atezolizumab versus observation (DFS HR= 0.56 (0.41-0.77); p=0.0003 and OS HR= 0.58 (0.4-0.86); p=0.0063). No difference in DFS or OS between arms was noted for ctDNA-negative patients. The rate of ctDNA clearance was higher with atezolizumab (18%) versus observation (4%) (p=0.0041). Transcriptomic analysis revealed that tumours from ctDNA(+) patients had higher expression of cell cycle and keratin genes. Within the ctDNA(+) patient population in the atezolizumab arm, non-relapsing patients were further enriched in prominent immune response signatures including PD-L1, IFNG, CXCL9, and high tumour mutational burden, whereas relapse was associated with angiogenesis and fibroblast-transforming growth factor-beta signatures (F-TBRS). TCGA molecular subset analysis revealed increased efficacy of atezolizumab in patients with basal-squamous tumours, consistent with underlying tumour-immune contexture. Together these findings suggest that adjuvant atezolizumab may be associated with improved outcomes compared with observation in this high-risk ctDNA(+) population. These findings, if validated in other settings, would shift approaches to post-operative cancer care."
EGAS00001003555,revealing active mutational processes  tumours  digipico mutlx  unprecedented accuracy,"Active mutational processes in a tumor result in genetic micro-heterogeneity that can determine the tumor’s evolutionary trajectory. Identification of these processes by studying micro-heterogeneity can unveil novel aspects of tumor evolution with potential therapeutic implications. Such studies, however, are inherently problematic because of the discovery of excessive false positive mutations. Here we report the optimization and validation of a robust whole genome sequencing and analysis pipeline (DigiPico/MutLX) that virtually eliminates false positive results. Using our method, we identified, for the first time, a sub-clonal local hyper-mutation (kataegis) event in a recurrent ovarian carcinoma, which was unidentifiable from the bulk WGS data of the same tumor. Overall, we propose DigiPico/MutLX method as a powerful framework for the reliable study of genetic micro-heterogeneity in tumor and normal tissues."
EGAS00001003767,ibd dysplasia,
EGAS00001003768,hsc population dynamics kx004 samples wgs,"My research project aims to use the clonal dynamics of spontaneously occurring somatic mutations to answer fundamental questions about human haematopoietic stem cell (HSC) biology.

The four major questions I will address are:
1.	How do age and aging affect normal human HSC dynamics in vivo?
2.	How do in vivo perturbations, particularly chemotherapy and increased levels of reactive oxygen species, affect HSC population dynamics?
3.	Is response to in vitro perturbation heritable and/or correlated with other features such as age of individual and contribution of the lineage to peripheral blood?
4.	How are HSC dynamics altered in people with early driver mutations (clonal haematopoiesis)?"
EGAS00001003769,fresh  frozen cell preparations  colorectal cancer single cell rna sequencing,
EGAS00001003093,genomic  transcriptomic profiling  combined hepatocellular  intrahepatic cholangiocarcinoma reveals distinct molecular subtypes,"We performed genomic and transcriptomic sequencing of 133 combined hepatocellular and intrahepatic cholangiocarcinoma (cHCC-ICC) cases, including separate, combined, and mixed subtypes."
EGAS00001003771,exome sequencing   clinic  prospective clinical case series,
EGAS00001003772, genomic advances  sepsis gains rna seq,"Sepsis is a clinically defined syndrome for which there are no targeted treatments, in part due to extensive variation in the individual host immune response. From transcriptomic data, we identified disease endotypes, sepsis response signatures (SRSs), that are associated with differential early mortality (Davenport et al, Lancet Respiratory Medicine, 2016; Burnham et al, American Journal of Respiratory and Critical Care Medicine, 2017) and response to treatment in a clinical trial (Antcliffe and Burnham et al, American Journal of Respiratory and Critical Care Medicine, 2018) highlighting the value of molecular data for developing a personalised medicine approach to treatment in sepsis. We identified and validated these SRS groups from microarray gene expression data in a cohort of 550 patients with sepsis as a result of community acquired pneumonia (CAP) or faecal peritonitis (FP). These patients are a subset of the Genomic Advances in Sepsis (GAinS) study, an established biobank of &gt;1,300 patients with samples for functional genomics and detailed clinical information. Genotyping and proteomic datasets are currently being completed for the full cohort and plasma nucleic acids from the majority of CAP patients have been sequenced to identify the causative pathogen. We will be preforming RNA sequencing to establish informative biomarkers of the SRS endotypes and assign SRS group membership across the GAinS cohort. This will allow us to address the following research questions: (1) What are the most robust and informative SRS transcriptomic biomarkers? We have a 7-gene signature for assigning SRS group from microarray data but we need to test its robustness across gene expression platforms (notably RNA-seq as the most commonly used approach) and therefore propose to perform RNA-seq on a subset of patients with microarray data (n=100) allowing selection of the most informative gene signature set.  (2) What is the nature of differential gene expression in the SRS endotypes? RNA-seq data will allow us to determine alternatively spliced isoforms and noncoding RNAs that may be specific to SRS endotype and are not currently known from our microarray analysis. It would also allow determination of whether there are transcriptomic signatures that differentiate the pathogens causing sepsis. (3) How dynamic is SRS membership over time? By profiling and assigning SRS membership for bio-banked samples taken at different times after admission we can determine this, with implications for the feasibility of therapeutic intervention if endotype states are reversible. (4) Which genetic variants are associated with SRS group membership and can a polygenic risk score for SRS be determined to allow SRS identification in other external datasets? By assigning SRS across the full cohort we will be maximally powered for such analysis. (5) Are there potential protein biomarkers of SRS endotype? Assignment of SRS group membership will allow us to combine this information with proteomic data being generated for the full cohort. We therefore propose performing RNA-sequencing on 922 samples (run on 3 flow cells on the NovaSeq), comprising 100 paired samples with microarray data (aim 1) and 822 samples from 603 patients enrolled in GAinS for whom transcriptomic data has not yet been generated (enabling aims 2-5).  This project will be led by Katie Burnham (Davenport group) and Emma Davenport, and Julian Knight at the University of Oxford (Chief Investigator on the GAinS study) to build on an established and successful collaboration that has led to the work described above on transcriptomics and eQTL mapping in the context of sepsis.  In terms of broader impact, this work would complement two aspects of the BioAID project; firstly, the identification of SRS groups at an earlier stage in disease progression and secondly the identification of transcriptomic profiles associated with aetiology such as causative pathogen (Prelim I3253, Sandhu and Davenport). It would also lay the foundation for a proposed work package that Emma would lead as part of a Wellcome Collaborative Award application (Julian Knight lead PI). This collaborative grant would focus on immunophenotyping the endotype associated with greater mortality and therefore determining the optimal gene set to robustly assign SRS group membership will be a necessity.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001005374,transcriptome  epigenome characterization  bmp signaling effects  h3 3k27m dipg,
EGAS00001005257,single cell rna sequencing  6 follicular lymphoma tumors,Follicular lymphoma (FL) is an indolent cancer of mature B-cells but carries increased risk of transformation to a more aggressive histology over time. We present here comprehensive profiling both tumor and immune compartments in 6 diagnostic FL biopsies by single-cell RNA sequencing. This confirmed results from 155 FL tumors characterized by mass cytometry (CyTOF) which revealed two distinct evolutionary trajectories with disparate risk of transformation and alternate biologies.
EGAS00001003670,indonesian genome diversity project 2 genotyping data,"This study reports Illumina Omni 2.5M genotyping chip data for 48 individuals from Aru, Mentawai, New Guinea and Sumba islands."
EGAS00001004897,nuclease deficiencies alter plasma cell free dna methylationprofiles human,"The effects of DNASE1L3 or DNASE1 deficiency on cfDNA methylation was explored in plasma of mice deficient in these nucleases and in DNASE1L3-deficient humans. Compared to wildtype cfDNA, cfDNA in Dnase1l3-deficient mice was significantly hypomethylated, while cfDNA in Dnase1-deficient mice was hypermethylated. The cfDNA hypomethylation in Dnase1l3-deficient mice was due to increased fragmentation and representation from open chromatin regions (OCRs) and CpG islands (CGIs). These findings were absent in Dnase1-deficient mice."
EGAS00000000098,metabric,"Solid tumors are complex tissues composed of a mixture of cancer and normal cells, which complicates the interpretation of their molecular profiles. Normal cell contamination can dilute cancer cell information and tissue architecture is generally not reflected in molecular assays. To address these challenges, we developed a computational approach based on standard Haematoxylin and Eosin-stained sections and demonstrated its power in a discovery cohort of  323 breast tumors and an independent validation cohort of 241 tumors. First, to deconvolute cellular heterogeneity and detect subtle genomic aberrations, we introduced an algorithm  based on tumor cellularity to increase the comparability of copy-number profiles between samples. Second, we demonstrated that a predictor for survival integrating image-based and molecular features significantly outperforms classifiers based on single data types. Third, we described and validated a novel, independent prognostic factor based on quantitative analysis of spatial patterns between stromal cells, which are not detectable by molecular assays. Our quantitative methods refine and complement molecular assays of tumor samples and could benefit all large-scale cancer studies.First, to deconvolute cellular heterogeneity and detect subtle genomic aberrations, we introduced an algorithm  based on tumor cellularity to increase the comparability of copy-number profiles between samples. Second, we demonstrated that a predictor for survival integrating image-based and molecular features significantly outperforms classifiers based on single data types. Third, we described and validated a novel, independent prognostic factor based on quantitative analysis of spatial patterns between stromal cells, which are not detectable by molecular assays. Our quantitative methods refine and complement molecular assays of tumor samples and could benefit all large-scale cancer studies.
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
EGAS00001001379,thu aug 06 12 19 30 bst 2015 ebi submitted  test,NA
EGAS00001001561,pscp mutation analysis  hescs,"Many studies over the past 10 years, culminating in the recent report of the International Stem Cell Initiative (ISCI, 2011) have shown that hPSC acquire genetic and epigenetic changes during their time in culture. Many of the genetic changes are non-random and recurrent, probably because they provide a selective growth advantage to the undifferentiated cells. Some are shared by embryonal carcinoma cells, the malignant counterparts of ES cells. The origins of these growth advantages are poorly understood, but may come from altered cell cycle dynamics, resistance to apoptosis or altered patterns of differentiation. Less is known about the nature and consequences of epigenetic changes, but it is likely that these similarly affect hPSC behaviour; e.g., enhanced expression of DLK1, an imprinted gene, is associated with altered hPSC growth (Enver et al 2005). Inevitably, these genetic and epigenetic changes will impact on our ability to use hPSC for regenerative medicine, either because malignant transformation of the undifferentiated cells or their differentiated derivatives to be used for transplantation compromises safety, or because they impede the function of those differentiated derivatives, or because they affect the efficiency with which the undifferentiated cells can be expanded and differentiated into desired cell types. Focusing initially upon the existing clinical grade hESC lines, later moving to iPSC, we will Consolidate and extend knowledge of the rate, type and functional impact of the genetic variations that occur during hPSC culture. We will use whole genome and exome sequencing as well as SNP arrays, together with clonal analysis and other cytogenetics techniques. Common changes will be compared with those found in the normal human population, at low frequency in the original cell population or observed during iPSC generation in the HIPSCI project currently based at the WTSI. These studies will provide a better understanding of the range of genetic changes that occur in hPSC beyond the CNVs already identified. In conjunction with cancer genome resources and expertise at WTSI, bioinformatic analyses of these hPSC data will allow us to assess potential impact on hPSC behaviour pertinent to applications in regenerative medicine, notably the likelihood that specific changes arising in undifferentiated PSC cultures may be associated with potential malignant transformation of differentiated progeny. This data is part of a pre-publication release. For information on the proper use of pre-publication data shred by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001004662,chromothripsis  human breast cancer hipo k26k h017 a017,"Chromothripsis is a form of genome instability, by which a presumably single catastrophic event generates extensive  genomic rearrangements of one or a few chromosome(s). Widely assumed to be an early event in tumor development, this
phenomenon plays a prominent role in tumor onset. We analyzed chromothripsis in 252 human breast cancers from two patient cohorts (149 metastatic breast cancers, 63 untreated primary tumors, 29 local relapses, 11 longitudinal pairs) using whole-genome and whole-exome sequencing. We showed that chromothripsis affects a substantial proportion of human breast cancers, with a prevalence over 60% in a cohort of metastatic cases and 25% in a cohort comprising predominantly luminal breast cancers (cohorts from HIPO K26K and H017 and A017). In the vast majority of cases, multiple chromosomes per tumor are affected, with most chromothriptic events on chromosomes 11 and 17 including, among other significantly altered drivers, CCND1, ERBB2, CDK12 and BRCA1. Importantly, chromothripsis generates recurrent fusions that drive tumor development. Chromothripsis-related rearrangements are linked with univocal mutational signatures, with clusters of point mutations due to kataegis in close proximity to the genomic breakpoints, and with the activation of specific signaling pathways. Analysis of the temporal order of events in tumors with and without chromothripsis as well as longitudinal analysis of chromothriptic patterns in tumor pairs revealed important insights on the role of chromothriptic chromosomes in tumor evolution."
EGAS00001005280,impaired humoral  cellular immunity  sars cov2 bnt162b2 tozinameran prime boost vaccination  kidney transplant recipients,
EGAS00001005235, coding mutations reveal cancer driver cistromes  luminal breast cancer,
EGAS00001003542,mutwp1 cruk grand challenge mutographs  cancer kidney novaseq,"The Mutographs project aims to advance our understanding of the causes of cancer through studies of mutational signatures. Led by Mike Stratton, together with Paul Brennan, Ludmil Alexandrov, Allan Balmain, David Phillips and Peter Campbell, this large-scale international research endeavour was awarded a Cancer Research UK Grand Challenge. 

Different patterns of somatic mutation are generated by the different environmental, lifestyle and genetic factors that cause cancer, many of them are still unknown. Within Mutographs, the International Agency for Research on Cancer is coordinating the recruitment of 5000 individuals with cancer (colorectal, renal, pancreatic, oesophageal adenocarcinoma or oesophageal squamous cancers) across 5 continents to explore whether different mutational signatures explain marked variation in incidence. In brief, through an international network of collaborators around the world, biological materials are collected, along with demographic, histological, clinical and questionnaire data. Whole genome sequences of tumour-germline DNA pairs are generated at the Wellcome Trust Sanger Institute. Somatic mutational signatures are subsequently extracted by non-negative matrix factorisation methods and correlated with risk factors data. 
Through an enhanced understanding of cancer aetiology, Mutographs unprecedented effort is anticipated to outline modifiable risk factors, lead to new approaches to prevent cancer, and provide opportunities to empower early detection, refine high-risk groups and contribute to further therapeutic development."
EGAS00001002787, genome sequencing  interval,"15x Whole Genome Sequencing of 15,000 individuals from the INTERVAL study cohort, phase III.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001005239,epithelial ovarian cancer case exome analysis,
EGAS00001005236,test python,test python
EGAS00001002636,cross tissue transcriptomic analysis  human secondary lymphoid organ residing ilc3 reveals  default quiescent state   absence  inflammation,"A cross tissue transcriptional comparison of human ILC3 isolated from non-inflamed lymph nodes (LN) and spleens, inflamed tonsils and the peripheral blood (PB). Using uniform gating and high-purity cell-sorting, ILC3 were sorted as Lineage(CD3,CD19,CD34,CD14,CD94)-CD45intCD127+CRTH2-CD117+. From LN, spleen, tonsils and PB, NKp44- ILC3 were isolated and, in addition, NKp44+ ILC3 were sorted from spleen and tonsils. RNA quality was measured on a RNA 6000 Pico Kit (Agilent Technologies) using a 2100 Bioanalyzer (Agilent Technologies). 100 pg high-quality RNA was isolated and cDNA was generated using the SMART-Seq (v3) Ultra Low Input RNA Kit (Clontech) with 15 cycles of amplification. Amplified and Covaris-fragmented cDNA was quality-checked on a High Sensitivity DNA chip (Agilent Technologies) and further processed according the TruSeq Nano DNA Library Preparation Kit (Illumina). Data was processed as follows: SMARTer adapters were trimmed with cutadapt and the resulting sequences were aligned to the human RefSeq transcriptome using 14 TopHat2 (Kim et al., 2013). Normalization and quantification was performed using Cufflinks (Trapnell et al., 2012). FPKM counts were determined per gene with HTSeq-count."
EGAS00001002314,sequencing  paediatric high grade gliomas  dipg,"Paediatric high grade glioma (pHGG) and diffuse intrinsic pontine glioma (DIPG) are a phenotypically diverse collection of tumours which molecular profiling studies have refined into age- and location-based subgroups driven by unique genetic and epigenetic alterations. Despite this, the rarity of these tumours means individual studies are underpowered to investigate subgroup-specific changes and to identify low frequency events recurrently targeting specific pathways. We have collated genomic data from 143 unpublished cases up to 30 years of age along with those from 18 previously published datasets in an integrated analysis comprising 1067 unique patients across all anatomical compartments of the CNS, with histone mutation status available for 893 cases (n=67 H3.3G34R/V, n=316 H3.3K27M, n=68 H3.1/H3.2K27M). Distinct clinicopathological and molecular subgroups are defined by these histone mutations, with several novel co-segregating mutations identified through these aggregated analyses, including loss of FBXW7 in H3.3G34R/V, TOP3A rearrangements in H3.3K27M, and BCOR mutations in H3.1K27M. Histone wild-type subgroups can be further refined by the presence of key oncogenic events (PDGFRA or EGFR amplification/mutations) or methylation profiles which molecularly more closely resemble pleomorphic xanthoastrocytoma or other low grade gliomas. The burden of genomic aberrations decreases with age, highlighting the infant population as biologically and clinically distinct. Across the whole cohort, we identify novel previously unrecognised pathway dysregulation in small subsets of tumours (e.g. splicing, WNT, immune response) which make up the umbrella classification of paediatric diffusely infiltrating gliomas. The integrated dataset helps to further define the molecular diversity of the disease, opening up novel avenues for biological study and providing a basis for functionally defined future treatment stratification."
EGAS00001002317,18  exome sequencing  radiation induced meningiomas,"Purpose: Majority of pediatric cancers require the irradiation of the central nervous system (CNS), and as more patients survive into adulthood from improved oncological therapy the sequelae of brain radiation are increasing in prevalence. Radiation-induced meningiomas (RIMs), one such secondary effect, demonstrate a clinically more aggressive behaviour than sporadic meningiomas (SMs). We aimed to describe the genomic mutational landscape of RIMs.Methods:  We analyzed a principal cohort of 18 RIMs, with 31 RIMs overall, from patients who received childhood radiation therapy and 30 SMs, as a comparator population. We performed a multiplatform integrative genomic analysis; including methylation, whole exome and RNA sequencing. Results: RIMs exhibited a five-fold increase in copy number alterations, commonly the loss of chromosome 1p (17/18 RIMs) and 22q (17/18 RIMs), which was significantly more than observed in sporadic meningiomas. Furthermore, RNA sequencing data revealed an NF2 gene fusion event in 35.3% of RIMs. In all 6 cases, there was a complete NF2 exon spliced into a complete exon of a reciprocal gene, suggesting that the breakpoints of genomic rearrangement are intronic. All tumours with the NF2 fusion also possessed monosomy of chromosome 22q, rendering the cells with homozygous disruption of NF2. Clinically, RIMs with the NF2 fusion exhibited ill-defined borders and a tendency to develop in anatomic frontal location. Also, targeted sequencing panel confirmed that RIMs had fewer nonsynonymous NF2 mutations (6.5% vs. 30% in SM) and absence of mutations in TRAF7, SMO, KLF4, PIK3CA and AKT1, genes traditionally involved in SMs.Conclusion: Our study demonstrates that RIMs have distinct genomic drivers of oncogenesis as compared to SMs, specifically NF2 inactivation through fusion event. Radiation therapy possibly triggers genomic structural rearrangements through error-prone repair of double-stranded DNA breaks."
EGAS00000000022,wtccc case control study  multiple sclerosis,WTCCC genome-wide case-control association study for Multiple Sclerosis (MS) using the 1958 British Birth Cohort collection as controls.
EGAS00001003541,exploring  landscape  somatic mutations  normal tissue ugi wgs,Somatic mutations (burdens and signatures) and clonal dynamics in normal human tissues from the gastrointestinal tract.
EGAS00001003773,building  platform  clinical studies  cutaneous leishmaniasis  ethiopia,"In this project, we will recruit a cohort of LCL, MCL and DCL patients in North West Ethiopia. The project aims to identify parasite factors associated with differences in clinical presentation by whole genome sequencing of parasites and identify the immune signatures of host response in specific presentations by in-depth phenotyping of L. aethiopica infections, making use of a non-invasive technique we have previously established, and RNA-seq transcriptomics from blood and skin samples from lesions. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001005240,epithelial ovarian cancer case exome analysis,
EGAS00001005242,evolutionary trajectories  clonal migration underlying tumor progression  lymph node metastasis  resectable lung cancer,
EGAS00001003543,dime,
EGAS00001001355, genome sequencing  interval,Whole genome sequencing of participants from the INTERVAL study.
